name,market,funding_total_usd,status,state_code,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
CoaLogix,Clean Technology,13350000,acquired,NC,2.0,,2008-05-13,2009-04-14,0.0,13350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850000.0,0.0,0.0,0.0,0.0,0.0,0.0
Coapt Systems,Biotechnology,26320000,acquired,CA,2.0,2000-01-01,2007-03-29,2009-12-29,0.0,22600000.0,0.0,0.0,0.0,3720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22600000.0,0.0,0.0,0.0
code-laboration,Curated Web,110000,closed,MA,3.0,2011-05-05,2011-06-08,2012-01-10,80000.0,0.0,0.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Code71,Web Development,1000000,closed,VA,1.0,2006-05-01,2011-12-13,2011-12-13,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Codefast,Software,6500000,acquired,CA,1.0,2004-01-01,2005-03-15,2005-03-15,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CodeRyte,Health and Wellness,11020000,acquired,MD,2.0,,2006-03-15,2011-07-29,0.0,11020000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8520000.0,2500000.0,0.0,0.0,0.0,0.0
Cofio Software,Cloud Data Services,4194000,acquired,CA,2.0,2006-01-01,2007-01-15,2012-08-08,3900000.0,0.0,0.0,0.0,0.0,294000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoFoundersLab,Networking,1130000,acquired,MD,7.0,2012-01-01,2012-01-15,2014-03-17,250000.0,75000.0,50000.0,0.0,600000.0,155000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coghead,PaaS,11200000,acquired,CA,2.0,2003-05-01,2006-03-01,2007-03-01,0.0,11200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cogito,Analytics,11700000,closed,UT,1.0,1994-01-01,2005-02-24,2005-02-24,0.0,11700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11700000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cognection,E-Commerce,25000,closed,NY,1.0,2010-12-01,2011-04-01,2011-04-01,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
